sector,class,sub_class,fuel,year,pm10,pm2_5,co,nox,so2
Energy (combustion),Agriculture/forestry/fishing,NA,Bituminous coal,2012,0.33,0.25,8.3,1.54,3.89
Energy (combustion),Agriculture/forestry/fishing,NA,Bituminous coal,2013,1.94,1.45,48.12,8.94,22.53
Energy (combustion),Agriculture/forestry/fishing,NA,Bituminous coal,2014,2.25,1.69,55.84,10.38,26.15
Energy (combustion),Agriculture/forestry/fishing,NA,Bituminous coal,2015,0.67,0.5,16.71,3.1,7.82
Energy (combustion),Agriculture/forestry/fishing,NA,Bituminous coal,2016,1.53,1.15,37.91,7.04,17.75
Energy (combustion),Agriculture/forestry/fishing,NA,Bituminous coal,2017,1.56,1.17,38.82,7.21,18.18
Energy (combustion),Agriculture/forestry/fishing,NA,Bituminous coal,2018,2.52,1.89,62.47,11.61,29.26
Energy (combustion),Agriculture/forestry/fishing,NA,Bituminous coal,2019,1.78,1.33,44.06,8.19,20.63
Energy (combustion),Agriculture/forestry/fishing,NA,Diesel,2012,256.62,256.62,894.6,6953.47,6.24
Energy (combustion),Agriculture/forestry/fishing,NA,Diesel,2013,279.67,279.67,974.96,7578.08,6.8
Energy (combustion),Agriculture/forestry/fishing,NA,Diesel,2014,290.94,290.94,1014.26,7883.6,7.07
Energy (combustion),Agriculture/forestry/fishing,NA,Diesel,2015,279.72,279.72,975.14,7579.49,6.8
Energy (combustion),Agriculture/forestry/fishing,NA,Diesel,2016,274.02,274.02,955.28,7425.13,6.66
Energy (combustion),Agriculture/forestry/fishing,NA,Diesel,2017,242.18,242.18,844.26,6562.18,5.88
Energy (combustion),Agriculture/forestry/fishing,NA,Diesel,2018,250.51,250.51,873.3,6787.94,6.09
Energy (combustion),Agriculture/forestry/fishing,NA,Diesel,2019,275.65,275.65,960.96,7469.28,6.7
Energy (combustion),Agriculture/forestry/fishing,NA,Fuel oil,2012,40.02,40.02,144.23,1121.07,2154.72
Energy (combustion),Agriculture/forestry/fishing,NA,Fuel oil,2013,35.12,35.12,126.57,983.79,1890.86
Energy (combustion),Agriculture/forestry/fishing,NA,Fuel oil,2014,40.47,40.47,145.85,1133.69,2178.98
Energy (combustion),Agriculture/forestry/fishing,NA,Fuel oil,2015,27.39,27.39,98.74,767.45,1475.06
Energy (combustion),Agriculture/forestry/fishing,NA,Fuel oil,2016,23.12,23.12,83.33,647.67,1244.84
Energy (combustion),Agriculture/forestry/fishing,NA,Fuel oil,2017,14.49,14.49,52.21,405.82,779.99
Energy (combustion),Agriculture/forestry/fishing,NA,Fuel oil,2018,19.31,19.31,69.61,541.09,1039.99
Energy (combustion),Agriculture/forestry/fishing,NA,Fuel oil,2019,16.09,16.09,58.01,450.87,866.58
Energy (combustion),Agriculture/forestry/fishing,NA,LPG,2012,0.05,0.05,1.83,4.68,0.01
Energy (combustion),Agriculture/forestry/fishing,NA,LPG,2013,0.05,0.05,2.06,5.25,0.02
Energy (combustion),Agriculture/forestry/fishing,NA,LPG,2014,0.05,0.05,2.11,5.39,0.02
Energy (combustion),Agriculture/forestry/fishing,NA,LPG,2015,0.06,0.06,2.32,5.92,0.02
Energy (combustion),Agriculture/forestry/fishing,NA,LPG,2016,0.06,0.06,2.43,6.2,0.02
Energy (combustion),Agriculture/forestry/fishing,NA,LPG,2017,0.07,0.07,2.57,6.56,0.02
Energy (combustion),Agriculture/forestry/fishing,NA,LPG,2018,0.08,0.08,2.99,7.62,0.02
Energy (combustion),Agriculture/forestry/fishing,NA,LPG,2019,0.08,0.08,3.08,7.86,0.03
Energy (combustion),Agriculture/forestry/fishing,NA,Lignite coal,2012,1.5,1.13,19.25,3.58,9.01
Energy (combustion),Agriculture/forestry/fishing,NA,Lignite coal,2013,1.1,0.82,14.07,2.61,6.59
Energy (combustion),Agriculture/forestry/fishing,NA,Lignite coal,2014,1.31,0.98,16.75,3.11,7.85
Energy (combustion),Agriculture/forestry/fishing,NA,Lignite coal,2015,1.47,1.1,18.83,3.5,8.82
Energy (combustion),Agriculture/forestry/fishing,NA,Lignite coal,2016,1.69,1.27,21.67,4.03,10.15
Energy (combustion),Agriculture/forestry/fishing,NA,Lignite coal,2017,1.08,0.81,13.87,2.58,6.49
Energy (combustion),Agriculture/forestry/fishing,NA,Lignite coal,2018,0.65,0.49,8.37,1.56,3.92
Energy (combustion),Agriculture/forestry/fishing,NA,Lignite coal,2019,0.8,0.6,10.2,1.89,4.78
Energy (combustion),Agriculture/forestry/fishing,NA,Natural gas,2012,1.51,1.51,45.31,115.62,0.62
Energy (combustion),Agriculture/forestry/fishing,NA,Natural gas,2013,1.5,1.5,44.87,114.5,0.62
Energy (combustion),Agriculture/forestry/fishing,NA,Natural gas,2014,1.58,1.58,47.32,120.76,0.65
Energy (combustion),Agriculture/forestry/fishing,NA,Natural gas,2015,1.6,1.6,47.8,121.96,0.66
Energy (combustion),Agriculture/forestry/fishing,NA,Natural gas,2016,1.24,1.24,37.26,95.08,0.51
Energy (combustion),Agriculture/forestry/fishing,NA,Natural gas,2017,1.4,1.4,42.04,107.28,0.58
Energy (combustion),Agriculture/forestry/fishing,NA,Natural gas,2018,1.32,1.32,39.42,100.59,0.54
Energy (combustion),Agriculture/forestry/fishing,NA,Natural gas,2019,1.31,1.31,39.14,99.89,0.54
Energy (combustion),Agriculture/forestry/fishing,NA,Petrol,2012,26.82,26.82,92.94,722.37,0.65
Energy (combustion),Agriculture/forestry/fishing,NA,Petrol,2013,43.72,43.72,151.51,1177.63,1.06
Energy (combustion),Agriculture/forestry/fishing,NA,Petrol,2014,27.22,27.22,94.33,733.18,0.66
Energy (combustion),Agriculture/forestry/fishing,NA,Petrol,2015,22.65,22.65,78.5,610.18,0.55
Energy (combustion),Agriculture/forestry/fishing,NA,Petrol,2016,26.9,26.9,93.2,724.41,0.65
Energy (combustion),Agriculture/forestry/fishing,NA,Petrol,2017,19.9,19.9,68.95,535.95,0.48
Energy (combustion),Agriculture/forestry/fishing,NA,Petrol,2018,19.47,19.47,67.46,524.35,0.47
Energy (combustion),Agriculture/forestry/fishing,NA,Petrol,2019,20.96,20.96,72.62,564.48,0.51
Energy (combustion),Agriculture/forestry/fishing,NA,Sub-bituminous coal,2012,183.06,137.29,3323.11,617.51,1556.26
Energy (combustion),Agriculture/forestry/fishing,NA,Sub-bituminous coal,2013,162.03,121.53,2941.49,546.59,1377.54
Energy (combustion),Agriculture/forestry/fishing,NA,Sub-bituminous coal,2014,77.34,58,1403.93,260.88,657.48
Energy (combustion),Agriculture/forestry/fishing,NA,Sub-bituminous coal,2015,104.91,78.68,1904.52,353.9,891.91
Energy (combustion),Agriculture/forestry/fishing,NA,Sub-bituminous coal,2016,56.49,42.37,1025.43,190.55,480.22
Energy (combustion),Agriculture/forestry/fishing,NA,Sub-bituminous coal,2017,135.91,101.93,2467.22,458.46,1155.43
Energy (combustion),Agriculture/forestry/fishing,NA,Sub-bituminous coal,2018,105.76,79.32,1919.84,356.75,899.09
Energy (combustion),Agriculture/forestry/fishing,NA,Sub-bituminous coal,2019,110.12,82.59,1999.02,371.46,936.17
Energy (combustion),Commercial/institutional,NA,Biogas,2012,0.99,0.99,29.7,75.79,0.41
Energy (combustion),Commercial/institutional,NA,Biogas,2013,1.03,1.03,30.87,78.77,0.43
Energy (combustion),Commercial/institutional,NA,Biogas,2014,1.05,1.05,31.57,80.56,0.44
Energy (combustion),Commercial/institutional,NA,Biogas,2015,1.12,1.12,33.62,85.78,0.46
Energy (combustion),Commercial/institutional,NA,Biogas,2016,1.25,1.25,37.39,95.4,0.52
Energy (combustion),Commercial/institutional,NA,Biogas,2017,1.13,1.13,33.72,86.05,0.47
Energy (combustion),Commercial/institutional,NA,Biogas,2018,1.08,1.08,32.37,82.61,0.45
Energy (combustion),Commercial/institutional,NA,Biogas,2019,1.07,1.07,31.98,81.6,0.44
Energy (combustion),Commercial/institutional,NA,Bituminous coal,2012,1.81,1.36,44.85,8.33,21
Energy (combustion),Commercial/institutional,NA,Bituminous coal,2013,1.6,1.2,39.75,7.39,18.62
Energy (combustion),Commercial/institutional,NA,Bituminous coal,2014,1.46,1.1,36.27,6.74,16.99
Energy (combustion),Commercial/institutional,NA,Bituminous coal,2015,1.56,1.17,38.67,7.19,18.11
Energy (combustion),Commercial/institutional,NA,Bituminous coal,2016,1.58,1.19,39.32,7.31,18.41
Energy (combustion),Commercial/institutional,NA,Bituminous coal,2017,0.36,0.27,8.86,1.65,4.15
Energy (combustion),Commercial/institutional,NA,Bituminous coal,2018,3.58,2.69,88.97,16.53,41.67
Energy (combustion),Commercial/institutional,NA,Bituminous coal,2019,3.86,2.89,95.73,17.79,44.83
Energy (combustion),Commercial/institutional,NA,Diesel,2012,71.23,71.23,248.31,1930.06,1.73
Energy (combustion),Commercial/institutional,NA,Diesel,2013,70.83,70.83,246.93,1919.33,1.72
Energy (combustion),Commercial/institutional,NA,Diesel,2014,78.46,78.46,273.52,2126.02,1.91
Energy (combustion),Commercial/institutional,NA,Diesel,2015,84.29,84.29,293.85,2284,2.05
Energy (combustion),Commercial/institutional,NA,Diesel,2016,90.59,90.59,315.81,2454.67,2.2
Energy (combustion),Commercial/institutional,NA,Diesel,2017,105.26,105.26,366.96,2852.32,2.56
Energy (combustion),Commercial/institutional,NA,Diesel,2018,89.16,89.16,310.83,2415.96,2.17
Energy (combustion),Commercial/institutional,NA,Diesel,2019,108.41,108.41,377.93,2937.51,2.63
Energy (combustion),Commercial/institutional,NA,Fuel oil,2012,0.21,0.21,0.74,5.76,11.08
Energy (combustion),Commercial/institutional,NA,Fuel oil,2013,0.39,0.39,1.41,10.99,21.12
Energy (combustion),Commercial/institutional,NA,Fuel oil,2014,0.09,0.09,0.31,2.41,4.63
Energy (combustion),Commercial/institutional,NA,Fuel oil,2015,0.16,0.16,0.59,4.62,8.87
Energy (combustion),Commercial/institutional,NA,Fuel oil,2016,0.77,0.77,2.76,21.49,41.3
Energy (combustion),Commercial/institutional,NA,Fuel oil,2017,1.11,1.11,4,31.13,59.83
Energy (combustion),Commercial/institutional,NA,Fuel oil,2018,2.65,2.65,9.55,74.2,142.61
Energy (combustion),Commercial/institutional,NA,Fuel oil,2019,8.65,8.65,31.18,242.32,465.75
Energy (combustion),Commercial/institutional,NA,LPG,2012,0.89,0.89,34.52,88.1,0.28
Energy (combustion),Commercial/institutional,NA,LPG,2013,0.91,0.91,35.17,89.74,0.29
Energy (combustion),Commercial/institutional,NA,LPG,2014,0.93,0.93,35.95,91.74,0.29
Energy (combustion),Commercial/institutional,NA,LPG,2015,1.04,1.04,40.18,102.53,0.33
Energy (combustion),Commercial/institutional,NA,LPG,2016,1.11,1.11,42.99,109.7,0.35
Energy (combustion),Commercial/institutional,NA,LPG,2017,1.24,1.24,47.94,122.34,0.39
Energy (combustion),Commercial/institutional,NA,LPG,2018,1.26,1.26,49.04,125.13,0.4
Energy (combustion),Commercial/institutional,NA,LPG,2019,1.31,1.31,50.71,129.39,0.41
Energy (combustion),Commercial/institutional,NA,Lignite coal,2012,45.8,34.35,586.06,108.9,274.46
Energy (combustion),Commercial/institutional,NA,Lignite coal,2013,26.54,19.91,339.6,63.11,159.04
Energy (combustion),Commercial/institutional,NA,Lignite coal,2014,10.4,7.8,133.04,24.72,62.3
